customer_id,revenue,cumulative_revenue,cumulative_percent,customer_percent
C00323,56703.83,1484319553.69,99.96,95.17
C00282,56575.19,1484376128.8799999,99.96,95.33
C00091,51818.24,1484427947.12,99.97,95.5
C00474,42221.97,1484470169.09,99.97,95.67
C00544,39659.61,1484509828.7,99.97,95.83
C00314,37785.89,1484547614.59,99.97,96.0
C00049,36816.07,1484584430.66,99.98,96.17
C00059,36269.9,1484620700.56,99.98,96.33
C00492,34487.4,1484655187.96,99.98,96.5
C00337,32267.54,1484687455.5,99.98,96.67
C00525,31691.27,1484719146.77,99.98,96.83
C00530,31468.81,1484750615.58,99.99,97.0
C00193,30988.38,1484781603.96,99.99,97.17
C00569,22766.57,1484804370.53,99.99,97.33
C00438,17931.52,1484822302.05,99.99,97.5
C00129,17810.51,1484840112.56,99.99,97.67
C00416,17438.8,1484857551.36,99.99,97.83
C00272,16401.19,1484873952.55,100.0,98.0
C00255,14842.38,1484888794.93,100.0,98.17
C00250,14791.33,1484903586.26,100.0,98.33
C00440,12443.43,1484916029.69,100.0,98.5
C00132,11969.95,1484927999.64,100.0,98.67
C00366,6466.16,1484934465.8,100.0,98.83
C00071,3496.88,1484937962.68,100.0,99.0
C00527,2295.34,1484940258.02,100.0,99.17
C00030,1976.17,1484942234.19,100.0,99.33
C00509,1818.72,1484944052.91,100.0,99.5
C00341,1438.31,1484945491.22,100.0,99.67
C00533,1107.2,1484946598.42,100.0,99.83
C00545,43.5,1484946641.92,100.0,100.0
